k,run,time_seconds(ms)
1,1,6.3662
1,2,6.4468
1,3,6.4326
1,4,6.4395
1,5,6.4798
2,1,4.9942
2,2,4.7725
2,3,4.739
2,4,5.043
2,5,4.8562
3,1,0.8199
3,2,0.867
3,3,0.8711
3,4,0.8619
3,5,0.825
4,1,0.7088
4,2,0.6795
4,3,0.7298
4,4,0.7059
4,5,0.7954
5,1,1.1488
5,2,0.996
5,3,1.0792
5,4,0.9581
5,5,1.2362
6,1,0.7433
6,2,0.9743
6,3,0.8513
6,4,0.8098
6,5,0.821
7,1,0.7564
7,2,0.9554
7,3,0.9614
7,4,0.8367
7,5,0.9014
8,1,0.883
8,2,1.0092
8,3,0.9529
8,4,0.8938
8,5,0.9526
9,1,1.0836
9,2,1.0056
9,3,1.1255
9,4,1.0302
9,5,0.9251
